geracao,melhor_fitness,fitness_medio,fitness_desvio,avaliacoes_unicas_acumuladas,melhor_n_estimators,melhor_max_depth,melhor_min_samples_split,melhor_min_samples_leaf,melhor_max_features,melhor_criterion,melhor_class_weight,melhor_threshold,melhor_accuracy,melhor_precision,melhor_recall,melhor_f1,melhor_roc_auc
0,0.6344034672700598,0.5760166682654904,0.050743686067174595,20,800,20,16,15,log2,gini,balanced_subsample,0.55,0.7232583333333333,0.5434186023718515,0.603433733300683,0.5718558628247277,0.7652061137493369
1,0.6404602855454659,0.6107719705059924,0.029933677445249968,34,100,24,30,5,log2,entropy,balanced,0.45,0.66635,0.47163261428990866,0.7430141757135472,0.5770067825976716,0.7589465724610033
2,0.6510419467868717,0.6113158583213589,0.03961246268145808,50,800,20,30,15,log2,gini,balanced_subsample,0.45,0.6672083333333333,0.47287297527706734,0.754605066253095,0.5814072932717,0.7652061137493369
3,0.6518606036904473,0.6228304637922564,0.04658569452641262,67,400,20,30,15,log2,log_loss,balanced_subsample,0.45,0.6676083333333334,0.4732584729854261,0.7545506489266183,0.581682415496429,0.7651645642147529
4,0.6764222059583723,0.6193056185508967,0.054948792208684934,85,200,20,30,15,log2,log_loss,balanced,0.5,0.6967333333333333,0.5035848344620762,0.689902865072239,0.5822005878030859,0.765222961339756
5,0.6764222059583723,0.6322947002803153,0.05084566168055153,102,200,20,30,15,log2,log_loss,balanced,0.5,0.6967333333333333,0.5035848344620762,0.689902865072239,0.5822005878030859,0.765222961339756
6,0.6772182237393678,0.6474283655753514,0.043182496126087995,119,200,20,30,15,log2,gini,balanced,0.5,0.696425,0.5032075396982537,0.6915081762033032,0.5825187086718848,0.7651357273852633
7,0.6786865110225161,0.6475111006713334,0.06656638729111554,134,800,12,6,15,0.3,log_loss,balanced,0.5,0.6921666666666667,0.4981944578545911,0.7019563028868392,0.5827780162190246,0.7663354165941955
8,0.6798643663722088,0.6681942178896085,0.02661104509429329,148,650,12,6,15,0.3,gini,balanced_subsample,0.5,0.6937416666666667,0.5000195213368211,0.6969227001877398,0.5822753157003375,0.7662662263104985
9,0.6813378946492041,0.670275882737908,0.02594239248729286,162,650,12,6,15,sqrt,log_loss,balanced,0.5,0.694425,0.5008186496179635,0.6990993932468098,0.5835765470093235,0.7666808143413705
10,0.6813378946492041,0.6568191121360144,0.04926671162556611,178,650,12,6,15,sqrt,log_loss,balanced,0.5,0.694425,0.5008186496179635,0.6990993932468098,0.5835765470093235,0.7666808143413705
11,0.6813730416288486,0.6644804878243695,0.03489482891841905,193,650,12,12,15,log2,gini,balanced,0.5,0.69355,0.4997960967084183,0.7002693657660599,0.5832880065270601,0.7666929266366678
