geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
0,800,24.0,30,15,log2,gini,balanced_subsample,0.3,0.5605186929609421,0.5542666666666667,0.3991198987280728,0.9007427965064077,0.5531420742201206,0.7640080592435075
0,400,30.0,30,1,0.3,gini,balanced,0.65,0.5466203387735724,0.7353416666666667,0.5876140350877193,0.45566348325306777,0.5132944079199424,0.7503337957348366
0,650,,8,15,0.3,entropy,balanced,0.6,0.600222752699201,0.7323583333333333,0.5659196905926516,0.5414523984436644,0.5534157431483516,0.7621778018201862
0,400,6.0,8,8,0.5,entropy,balanced_subsample,0.5,0.6214557357078782,0.6622,0.4670165832563168,0.7287024188501618,0.5692242295430393,0.7549568473990397
0,100,10.0,4,1,0.5,entropy,balanced,0.4,0.6134465122999848,0.62325,0.43897123558531903,0.8275514923951787,0.5736514522821576,0.7640417354674766
0,200,12.0,4,10,log2,gini,balanced,0.6,0.5893231003704731,0.73925,0.5837754945560497,0.5178896960792316,0.5488624239453271,0.766456039804883
0,200,16.0,16,5,0.3,entropy,balanced_subsample,0.65,0.5295293589298675,0.74295,0.6184669688339818,0.4195303784725056,0.49993515336229816,0.7630405704342023
0,800,12.0,16,1,log2,entropy,balanced_subsample,0.7,0.4664343306138283,0.744375,0.6734391051249857,0.32106222621282615,0.43482266236757255,0.7660381204311391
0,800,20.0,16,15,log2,gini,balanced_subsample,0.55,0.6344034672700598,0.7232583333333333,0.5434186023718515,0.603433733300683,0.5718558628247277,0.7652061137493369
0,100,12.0,16,1,sqrt,log_loss,balanced_subsample,0.55,0.6320863787614189,0.7244083333333333,0.5456619872017461,0.5985905912442522,0.5709021551556357,0.7657998646192591
0,100,16.0,6,8,0.5,log_loss,balanced_subsample,0.4,0.6206732953703122,0.6385166666666666,0.44929510630807146,0.7986286833727859,0.5750671029172626,0.7607201774449479
0,500,10.0,30,4,0.5,gini,balanced,0.4,0.6155915220309723,0.6238916666666666,0.4395417291931202,0.8288302995673823,0.5744458168720593,0.7648027351111689
0,300,30.0,30,4,sqrt,entropy,balanced,0.45,0.6320060354397612,0.6642083333333333,0.46936622154569985,0.7383070769733083,0.5738909744620102,0.7554724614870787
0,500,10.0,2,1,sqrt,entropy,balanced_subsample,0.3,0.5348961882252474,0.5170416666666666,0.38157688956411,0.9293935188964166,0.5410268391000309,0.7648290954545226
0,300,12.0,4,5,0.5,entropy,balanced,0.7,0.484742500332625,0.7445416666666667,0.6560868229753251,0.34870622806301527,0.45538046085241707,0.7648422377941723
0,300,24.0,30,5,log2,log_loss,balanced_subsample,0.4,0.6176764817437682,0.642175,0.4515537873566819,0.7843985524991157,0.573158245275704,0.7585683392923647
0,100,12.0,30,20,log2,gini,balanced,0.3,0.5439055564155967,0.52735,0.38643732295826083,0.9242510815443638,0.5450038505968425,0.7664670745002343
