geracao,melhor_fitness,fitness_medio,fitness_desvio,avaliacoes_unicas_acumuladas,melhor_n_estimators,melhor_max_depth,melhor_min_samples_split,melhor_min_samples_leaf,melhor_max_features,melhor_criterion,melhor_class_weight,melhor_threshold,melhor_accuracy,melhor_precision,melhor_recall,melhor_f1,melhor_roc_auc
0,0.67912519230845,0.5942574117938533,0.039390573334309356,30,200,10,12,5,sqrt,log_loss,balanced,0.5,0.6934,0.49961989045047855,0.6973852474627922,0.5821654893588025,0.7656496129663828
1,0.681628107477356,0.6183532583530086,0.044453727921620965,57,400,12,30,15,log2,entropy,balanced,0.5,0.693,0.49915959892583217,0.7029902320898974,0.583794653953047,0.7672996359972952
2,0.6819071280862081,0.6329718681481544,0.05127143783349866,83,200,12,30,15,log2,log_loss,balanced,0.5,0.6929,0.4990452309769505,0.7039697439664789,0.5840538161132306,0.7672565460536894
3,0.6819071280862081,0.6384494593002062,0.06586829123927308,108,200,12,30,15,log2,log_loss,balanced,0.5,0.6929,0.4990452309769505,0.7039697439664789,0.5840538161132306,0.7672565460536894
4,0.6832229873523332,0.646818731071773,0.05982369716008004,134,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
5,0.6832229873523332,0.6720590274671661,0.01908439632175476,160,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
6,0.6832229873523332,0.6523870541496211,0.05494486609238134,186,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
7,0.6832229873523332,0.6517502555265762,0.06232048488828186,211,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
8,0.6832229873523332,0.6413691681220556,0.057169512606992184,235,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
9,0.6832229873523332,0.656560098661133,0.05090361437655468,262,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
10,0.6832229873523332,0.6401607138137998,0.07373067850768393,288,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
11,0.6832229873523332,0.6651087322746185,0.03219127144878137,315,200,12,12,15,sqrt,gini,balanced,0.5,0.69415,0.5004944064214669,0.7023644328354148,0.5844899807539907,0.7672479934007975
