geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
0,100,12.0,8,2,0.3,log_loss,balanced_subsample,0.4,0.6168227120767987,0.6256333333333334,0.4406789505016625,0.8257829292846842,0.5746799969703855,0.7658339752170008
0,400,30.0,4,8,sqrt,log_loss,balanced,0.6,0.5976841608094374,0.7301833333333333,0.5619811294024311,0.5396566266699317,0.5505926769008689,0.75864350295083
0,200,30.0,12,1,0.5,entropy,balanced,0.45,0.5807493212025635,0.6564166666666666,0.45968773073529146,0.6945283378227628,0.5532173121518823,0.7314836562646905
0,200,20.0,6,4,log2,log_loss,balanced_subsample,0.35,0.589576971017655,0.6065,0.42723872815493485,0.8361222213152668,0.5655134339344866,0.7567619397422773
0,650,12.0,12,5,sqrt,entropy,balanced_subsample,0.4,0.6164049152300571,0.6231666666666666,0.43913624796929135,0.8310886186161673,0.574640203179381,0.7670019198415392
0,800,20.0,4,20,log2,entropy,balanced,0.35,0.5891489227323509,0.587625,0.41730319563522994,0.8740510978695617,0.564902007332964,0.7669957408827959
0,800,10.0,30,2,log2,entropy,balanced,0.55,0.6316770839211391,0.7231083333333334,0.543569592724397,0.5984545479280603,0.5696932022741106,0.7658583066851152
0,500,12.0,6,2,0.5,gini,balanced,0.55,0.6386563507523084,0.720825,0.538961038961039,0.6120044622207711,0.5731649827359945,0.7652193917286522
0,200,10.0,12,5,sqrt,log_loss,balanced,0.5,0.67912519230845,0.6934,0.49961989045047855,0.6973852474627922,0.5821654893588025,0.7656496129663828
0,500,6.0,4,8,log2,log_loss,balanced,0.6,0.5489928952124987,0.7364,0.5900728180954726,0.4563981171605039,0.5146977600490948,0.7568176579021737
0,100,30.0,6,4,sqrt,gini,balanced_subsample,0.6,0.56372019091752,0.72805,0.5645793484055063,0.48989198160694364,0.524590641571004,0.743566426892377
0,200,12.0,30,10,0.5,entropy,balanced,0.65,0.5433302135273768,0.744775,0.617015586797066,0.43944711996299624,0.5133086494303104,0.7663456588597414
0,650,30.0,24,1,0.3,entropy,balanced_subsample,0.35,0.5794615755141651,0.616925,0.4322372871386136,0.7997442385655593,0.5611760775141998,0.7469970825127048
0,200,30.0,6,10,0.5,log_loss,balanced,0.5,0.6630828755563835,0.6928166666666666,0.49890524877970394,0.6757815688515223,0.5740269945456227,0.7558502946004146
0,650,10.0,6,10,0.3,log_loss,balanced_subsample,0.45,0.6440571413388374,0.6580583333333333,0.4650155304888017,0.7739504258155797,0.5809666778999827,0.7658335414969134
0,300,30.0,12,1,0.3,gini,balanced_subsample,0.5,0.6124437907861138,0.6955416666666666,0.5025167397829601,0.5921693467199957,0.5436718584115009,0.7314641089546616
0,500,10.0,16,8,0.5,log_loss,balanced,0.4,0.6156025023089621,0.6232583333333334,0.43914620455395953,0.8301635240660626,0.574427427022244,0.7656331170585666
0,100,8.0,12,8,sqrt,entropy,balanced_subsample,0.45,0.6309661909054697,0.6512,0.45896392556733195,0.7764536228335102,0.576912968765794,0.7622412754639519
0,800,6.0,12,4,0.3,log_loss,balanced,0.6,0.5510640896612018,0.7351916666666667,0.5861674863198726,0.46050662530949854,0.5157938043792951,0.7563918678325556
0,300,8.0,6,20,0.3,log_loss,balanced_subsample,0.4,0.6032974200319576,0.6156333333333334,0.43357763570122343,0.8321769651457024,0.5701157567058736,0.7625111492087306
0,650,24.0,16,4,0.5,gini,balanced,0.3,0.5481712315535622,0.5630166666666667,0.40171689955511,0.8721737001061138,0.5500737893400144,0.7489485223743466
0,200,30.0,16,15,log2,entropy,balanced,0.65,0.5527928013215756,0.743525,0.6084573502722324,0.45609882186488176,0.5213753635133664,0.7645428897134754
0,300,16.0,6,15,0.5,entropy,balanced,0.4,0.6192219543083245,0.631075,0.4442896523105196,0.8156613065600087,0.5752444184328437,0.7640869448217131
